Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin %,Year
CA-2019-103800,2019-01-03,2019-01-07,standard class,DP-13000,Darren Powers,consumer,United States,Houston,Texas,77095,central,OFF-PA-10000174,office supplies,paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.5512,33.75,2019
CA-2019-112326,2019-01-04,2019-01-08,standard class,PO-19195,Phillina Ober,home office,United States,Naperville,Illinois,60540,central,OFF-LA-10003223,office supplies,labels,Avery 508,11.784,3,0.2,4.2717,36.25,2019
CA-2019-112326,2019-01-04,2019-01-08,standard class,PO-19195,Phillina Ober,home office,United States,Naperville,Illinois,60540,central,OFF-ST-10002743,office supplies,storage,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.7748,-23.75,2019
CA-2019-112326,2019-01-04,2019-01-08,standard class,PO-19195,Phillina Ober,home office,United States,Naperville,Illinois,60540,central,OFF-BI-10004094,office supplies,binders,GBC Standard Plastic Binding Systems Combs,3.54,2,0.8,-5.487,-155.0,2019
CA-2019-141817,2019-01-05,2019-01-12,standard class,MB-18085,Mick Brown,consumer,United States,Philadelphia,Pennsylvania,19143,east,OFF-AR-10003478,office supplies,art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884,25.0,2019
CA-2019-167199,2019-01-06,2019-01-10,standard class,ME-17320,Maria Etezadi,home office,United States,Henderson,Kentucky,42420,south,OFF-AR-10001662,office supplies,art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.4796,27.0,2019
CA-2019-167199,2019-01-06,2019-01-10,standard class,ME-17320,Maria Etezadi,home office,United States,Henderson,Kentucky,42420,south,OFF-BI-10004632,office supplies,binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.491,44.99999999999999,2019
CA-2019-106054,2019-01-06,2019-01-07,first class,JO-15145,Jack O'Briant,corporate,United States,Athens,Georgia,30605,south,OFF-AR-10002399,office supplies,art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.0,5.2398,41.0,2019
CA-2019-167199,2019-01-06,2019-01-10,standard class,ME-17320,Maria Etezadi,home office,United States,Henderson,Kentucky,42420,south,TEC-PH-10004977,technology,phones,GE 30524EE4,391.98,2,0.0,113.6742,29.0,2019
CA-2019-167199,2019-01-06,2019-01-10,standard class,ME-17320,Maria Etezadi,home office,United States,Henderson,Kentucky,42420,south,TEC-PH-10004539,technology,phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0.0,204.1092,27.0,2019
CA-2019-167199,2019-01-06,2019-01-10,standard class,ME-17320,Maria Etezadi,home office,United States,Henderson,Kentucky,42420,south,OFF-FA-10001883,office supplies,fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.0,0.3112,1.0,2019
CA-2019-167199,2019-01-06,2019-01-10,standard class,ME-17320,Maria Etezadi,home office,United States,Henderson,Kentucky,42420,south,OFF-PA-10000955,office supplies,paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.0,3.0084,46.0,2019
CA-2019-130813,2019-01-06,2019-01-08,second class,LS-17230,Lycoris Saunders,consumer,United States,Los Angeles,California,90049,west,OFF-PA-10002005,office supplies,paper,Xerox 225,19.44,3,0.0,9.3312,48.00000000000001,2019
CA-2019-105417,2019-01-07,2019-01-12,standard class,VS-21820,Vivek Sundaresam,consumer,United States,Huntsville,Texas,77340,central,FUR-FU-10004864,furniture,furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,3,0.6,-53.7096,-70.0,2019
CA-2019-105417,2019-01-07,2019-01-12,standard class,VS-21820,Vivek Sundaresam,consumer,United States,Huntsville,Texas,77340,central,OFF-BI-10003708,office supplies,binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,0.8,-18.2525,-175.00000000000003,2019
CA-2019-135405,2019-01-09,2019-01-13,standard class,MS-17830,Melanie Seite,consumer,United States,Laredo,Texas,78041,central,OFF-AR-10004078,office supplies,art,Newell 312,9.344,2,0.2,1.168,12.5,2019
CA-2019-135405,2019-01-09,2019-01-13,standard class,MS-17830,Melanie Seite,consumer,United States,Laredo,Texas,78041,central,TEC-AC-10001266,technology,accessories,Memorex Micro Travel Drive 8 GB,31.2,3,0.2,9.75,31.25,2019
CA-2019-149020,2019-01-10,2019-01-15,standard class,AJ-10780,Anthony Jacobs,corporate,United States,Springfield,Virginia,22153,south,FUR-FU-10000965,furniture,furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0.0,21.2954,41.0,2019
CA-2019-149020,2019-01-10,2019-01-15,standard class,AJ-10780,Anthony Jacobs,corporate,United States,Springfield,Virginia,22153,south,OFF-LA-10004272,office supplies,labels,Avery 482,2.89,1,0.0,1.3583,47.0,2019
CA-2019-130092,2019-01-11,2019-01-14,first class,SV-20365,Seth Vernon,consumer,United States,Dover,Delaware,19901,east,FUR-FU-10000010,furniture,furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0.0,3.0814,31.0,2019
CA-2019-162775,2019-01-13,2019-01-15,second class,CS-12250,Chris Selesnick,corporate,United States,Bossier City,Louisiana,71111,south,OFF-ST-10000025,office supplies,storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0.0,34.3548,5.999999999999999,2019
CA-2019-162775,2019-01-13,2019-01-15,second class,CS-12250,Chris Selesnick,corporate,United States,Bossier City,Louisiana,71111,south,OFF-BI-10004187,office supplies,binders,3-ring staple pack,5.64,3,0.0,2.7072,48.0,2019
CA-2019-157147,2019-01-13,2019-01-18,standard class,BD-11605,Brian Dahlen,consumer,United States,San Francisco,California,94109,west,OFF-AR-10003514,office supplies,art,4009 Highlighters by Sanford,19.9,5,0.0,6.567,33.0,2019
CA-2019-118192,2019-01-13,2019-01-18,standard class,MM-17920,Michael Moore,consumer,United States,Newark,Ohio,43055,east,OFF-BI-10003476,office supplies,binders,Avery Metallic Poly Binders,3.438,2,0.7,-2.5212,-73.33333333333333,2019
CA-2019-157147,2019-01-13,2019-01-18,standard class,BD-11605,Brian Dahlen,consumer,United States,San Francisco,California,94109,west,OFF-ST-10000078,office supplies,storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0.0,238.653,18.0,2019
CA-2019-118192,2019-01-13,2019-01-18,standard class,MM-17920,Michael Moore,consumer,United States,Newark,Ohio,43055,east,OFF-PA-10002947,office supplies,paper,Xerox 1923,37.408,7,0.2,13.0928,35.0,2019
CA-2019-162775,2019-01-13,2019-01-15,second class,CS-12250,Chris Selesnick,corporate,United States,Bossier City,Louisiana,71111,south,OFF-EN-10001990,office supplies,envelopes,Staple envelope,11.36,2,0.0,5.3392,47.0,2019
CA-2019-109232,2019-01-13,2019-01-16,second class,ND-18370,Natalie DeCherney,consumer,United States,Mount Pleasant,South Carolina,29464,south,FUR-CH-10000422,furniture,chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0.0,87.3504,15.999999999999998,2019
CA-2019-157147,2019-01-13,2019-01-18,standard class,BD-11605,Brian Dahlen,consumer,United States,San Francisco,California,94109,west,FUR-BO-10003034,furniture,bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.9294,1.176470588235294,2019
CA-2019-162775,2019-01-13,2019-01-15,second class,CS-12250,Chris Selesnick,corporate,United States,Bossier City,Louisiana,71111,south,OFF-EN-10001532,office supplies,envelopes,Brown Kraft Recycled Envelopes,50.94,3,0.0,25.47,50.0,2019
CA-2019-162775,2019-01-13,2019-01-15,second class,CS-12250,Chris Selesnick,corporate,United States,Bossier City,Louisiana,71111,south,TEC-AC-10003174,technology,accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0.0,258.696,40.0,2019
CA-2019-149524,2019-01-14,2019-01-15,first class,BS-11590,Brendan Sweed,corporate,United States,Philadelphia,Pennsylvania,19140,east,FUR-BO-10003433,furniture,bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.2856,-86.0,2019
CA-2019-103366,2019-01-15,2019-01-17,first class,EH-13990,Erica Hackney,consumer,United States,Roswell,Georgia,30076,south,TEC-AC-10003628,technology,accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0.0,65.978,44.0,2019
CA-2019-115791,2019-01-16,2019-01-18,second class,DL-13315,Delfina Latchford,consumer,United States,Philadelphia,Pennsylvania,19134,east,OFF-LA-10001074,office supplies,labels,Round Specialty Laser Printer Labels,30.072,3,0.2,10.1493,33.75,2019
CA-2019-115791,2019-01-16,2019-01-18,second class,DL-13315,Delfina Latchford,consumer,United States,Philadelphia,Pennsylvania,19134,east,FUR-FU-10001095,furniture,furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,6,0.2,28.5984,22.5,2019
CA-2019-115791,2019-01-16,2019-01-18,second class,DL-13315,Delfina Latchford,consumer,United States,Philadelphia,Pennsylvania,19134,east,TEC-PH-10004614,technology,phones,AT&T 841000 Phone,124.2,3,0.4,-31.05,-25.0,2019
CA-2019-115791,2019-01-16,2019-01-18,second class,DL-13315,Delfina Latchford,consumer,United States,Philadelphia,Pennsylvania,19134,east,OFF-BI-10001575,office supplies,binders,GBC Linen Binding Covers,18.588,2,0.7,-13.6312,-73.33333333333333,2019
CA-2019-123477,2019-01-18,2019-01-21,second class,DW-13195,David Wiener,corporate,United States,Springfield,Oregon,97477,west,OFF-AP-10000692,office supplies,appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,0.2,6.4864,10.0,2019
CA-2019-146591,2019-01-19,2019-01-20,first class,TS-21340,Toby Swindell,consumer,United States,Scottsdale,Arizona,85254,west,OFF-BI-10003676,office supplies,binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.716,-73.33333333333333,2019
CA-2019-146591,2019-01-19,2019-01-20,first class,TS-21340,Toby Swindell,consumer,United States,Scottsdale,Arizona,85254,west,OFF-PA-10000659,office supplies,paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,4,0.2,19.6224,35.0,2019
CA-2019-146591,2019-01-19,2019-01-20,first class,TS-21340,Toby Swindell,consumer,United States,Scottsdale,Arizona,85254,west,OFF-EN-10002504,office supplies,envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.693,33.75,2019
CA-2019-167927,2019-01-20,2019-01-26,standard class,XP-21865,Xylona Preis,consumer,United States,Westland,Michigan,48185,central,FUR-FU-10002268,furniture,furnishings,Ultra Door Push Plate,14.73,3,0.0,4.8609,33.0,2019
CA-2019-167927,2019-01-20,2019-01-26,standard class,XP-21865,Xylona Preis,consumer,United States,Westland,Michigan,48185,central,OFF-BI-10004364,office supplies,binders,Storex Dura Pro Binders,29.7,5,0.0,13.365,45.0,2019
CA-2019-148614,2019-01-20,2019-01-25,standard class,MV-17485,Mark Van Huff,consumer,United States,Los Angeles,California,90049,west,OFF-PA-10002893,office supplies,paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0.0,9.2928,48.0,2019
US-2019-147774,2019-01-20,2019-01-26,standard class,MM-18280,Muhammed MacIntyre,corporate,United States,Smyrna,Tennessee,37167,south,OFF-BI-10003091,office supplies,binders,GBC DocuBind TL200 Manual Binding Machine,67.194,1,0.7,-51.5154,-76.66666666666666,2019
CA-2019-167927,2019-01-20,2019-01-26,standard class,XP-21865,Xylona Preis,consumer,United States,Westland,Michigan,48185,central,OFF-AR-10004456,office supplies,art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0.0,12.7368,29.0,2019
US-2019-147627,2019-01-20,2019-01-26,standard class,HL-15040,Hunter Lopez,consumer,United States,Jonesboro,Arkansas,72401,south,FUR-FU-10003194,furniture,furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0.0,11.58,30.0,2019
US-2019-147627,2019-01-20,2019-01-26,standard class,HL-15040,Hunter Lopez,consumer,United States,Jonesboro,Arkansas,72401,south,OFF-AR-10003811,office supplies,art,Newell 327,6.63,3,0.0,1.7901,27.0,2019
CA-2019-167927,2019-01-20,2019-01-26,standard class,XP-21865,Xylona Preis,consumer,United States,Westland,Michigan,48185,central,OFF-ST-10003123,office supplies,storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0.0,15.9792,24.000000000000004,2019
US-2019-147627,2019-01-20,2019-01-26,standard class,HL-15040,Hunter Lopez,consumer,United States,Jonesboro,Arkansas,72401,south,FUR-CH-10002331,furniture,chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0.0,224.2674,21.0,2019
CA-2019-167927,2019-01-20,2019-01-26,standard class,XP-21865,Xylona Preis,consumer,United States,Westland,Michigan,48185,central,OFF-BI-10000605,office supplies,binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,0.0,8.9535,47.0,2019
CA-2019-167927,2019-01-20,2019-01-26,standard class,XP-21865,Xylona Preis,consumer,United States,Westland,Michigan,48185,central,FUR-FU-10002918,furniture,furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0.0,30.0234,11.0,2019
CA-2019-167927,2019-01-20,2019-01-26,standard class,XP-21865,Xylona Preis,consumer,United States,Westland,Michigan,48185,central,OFF-ST-10000760,office supplies,storage,Eldon Fold 'N Roll Cart System,13.98,1,0.0,4.0542,29.0,2019
